"Rambo" (1986)						1986-1986
"Rambo" (1986) {Alphas, Arms and Ambush: Part I (#1.51)}	1986
"Rambo" (1986) {Alphas, Arms and Ambush: Part II (#1.52)}	1986
"Rambo" (1986) {Attack on El Dorado (#1.43)}		1986
"Rambo" (1986) {Battlefield Bronx (#1.3)}		1986
"Rambo" (1986) {Beneath the Streets (#1.11)}		1986
"Rambo" (1986) {Blind Luck (#1.55)}			1986
"Rambo" (1986) {Blockbuster (#1.46)}			1986
"Rambo" (1986) {Change of Face (#1.64)}			1986
"Rambo" (1986) {Children for Peace (#1.36)}		1986
"Rambo" (1986) {Crash (#1.53)}				1986
"Rambo" (1986) {Cult of the Cobra (#1.12)}		1986
"Rambo" (1986) {Deadly Keep (#1.10)}			1986
"Rambo" (1986) {Death Merchant (#1.26)}			1986
"Rambo" (1986) {Disaster in Delgado (#1.18)}		1986
"Rambo" (1986) {Enter the Black Dragon (#1.20)}		1986
"Rambo" (1986) {Enter the White Dragon (#1.41)}		1986
"Rambo" (1986) {Exercise in Terror (#1.16)}		1986
"Rambo" (1986) {Fire in the Sky (#1.19)}		1986
"Rambo" (1986) {First Strike (#1.1)}			1986
"Rambo" (1986) {Freedom Dancer (#1.33)}			1986
"Rambo" (1986) {General Warhawk's Curse (#1.9)}		1986
"Rambo" (1986) {Guns Over the Suez (#1.15)}		1986
"Rambo" (1986) {Horror of the Highlands (#1.65)}	1986
"Rambo" (1986) {Just Say No (#1.58)}			1986
"Rambo" (1986) {Lagoon of Death (#1.29)}		1986
"Rambo" (1986) {Masquerade (#1.57)}			1986
"Rambo" (1986) {Mephisto's Magic (#1.24)}		1986
"Rambo" (1986) {Mind Control (#1.38)}			1986
"Rambo" (1986) {Mirage (#1.54)}				1986
"Rambo" (1986) {Monster Island (#1.59)}			1986
"Rambo" (1986) {Night of the Voodoo Moon (#1.28)}	1986
"Rambo" (1986) {Pirate Peril (#1.23)}			1986
"Rambo" (1986) {Quarterback Sneak (#1.60)}		1986
"Rambo" (1986) {Raid on Las Vegas (#1.13)}		1986
"Rambo" (1986) {Raise the Yamato (#1.4)}		1986
"Rambo" (1986) {Rambo and the White Rhino (#1.22)}	1986
"Rambo" (1986) {Reign of the Boy King (#1.21)}		1986
"Rambo" (1986) {Return of the Count (#1.27)}		1986
"Rambo" (1986) {Robot Raid (#1.50)}			1986
"Rambo" (1986) {S.A.V.A.G.E. Island (#1.8)}		1986
"Rambo" (1986) {S.A.V.A.G.E. Rustlers (#1.37)}		1986
"Rambo" (1986) {S.A.V.A.G.E. Space (#1.63)}		1986
"Rambo" (1986) {Sepulcher of Power (#1.61)}		1986
"Rambo" (1986) {Skyjacked Gold (#1.42)}			1986
"Rambo" (1986) {Snow Kill (#1.30)}			1986
"Rambo" (1986) {Subterranean Holdup (#1.6)}		1986
"Rambo" (1986) {Supertrooper (#1.47)}			1986
"Rambo" (1986) {Swamp Monster (#1.32)}			1986
"Rambo" (1986) {Target: Supertanker (#1.40)}		1986
"Rambo" (1986) {Terror Beneath the Sea (#1.31)}		1986
"Rambo" (1986) {Texas Inferno (#1.34)}			1986
"Rambo" (1986) {The Angel of Destruction (#1.2)}	1986
"Rambo" (1986) {The Doomsday Machine (#1.17)}		1986
"Rambo" (1986) {The Halley Microbe (#1.25)}		1986
"Rambo" (1986) {The Iron Mask (#1.35)}			1986
"Rambo" (1986) {The Konichi (#1.49)}			1986
"Rambo" (1986) {The Lost City of Acra (#1.14)}		1986
"Rambo" (1986) {The Ninja Dog (#1.44)}			1986
"Rambo" (1986) {The Taking of Tierra Libre (#1.5)}	1986
"Rambo" (1986) {The Twin Within (#1.62)}		1986
"Rambo" (1986) {Trouble in Tibet (#1.7)}		1986
"Rambo" (1986) {Turbo's Dilemma (#1.56)}		1986
"Rambo" (1986) {Vote of Terror (#1.39)}			1986
"Rambo" (1986) {Warhawk's Fortress (#1.48)}		1986
"Rambo" (1986) {When S.A.V.A.G.E. Stole Santa (#1.45)}	1986
"Rambo: No Blood" (2008)				2008-????
"Rambo: No Blood" (2008) {(#1.1)}			2008
"Rambo: No Blood" (2008) {(#1.2)}			2008
"Rambro" (2018)						2018-????
"Rambro" (2018) {Pilot}					????
"Ramdam" (2001)						2001-????
"Ramdam" (2001) {1,2,3, Test! (#1.62)}			2002
"Ramdam" (2001) {2e niveau (#5.9)}			2005
"Ramdam" (2001) {Abeilles et sortilèges (#1.58)}	2002
"Ramdam" (2001) {Abracad'embrouille (#3.68)}		2004
"Ramdam" (2001) {Abus de confiance (#5.90)}		2006
"Ramdam" (2001) {Accords et désaccords (#6.3)}		2006
"Ramdam" (2001) {Action! (#6.74)}			2007
"Ramdam" (2001) {Adieu Télé-Gamines... (#5.91)}		2006
"Ramdam" (2001) {Air de boeuf et taille de guêpe (#1.67)}	2002
"Ramdam" (2001) {Alexis et son hameçon (#6.96)}		2007
"Ramdam" (2001) {Alexis le poteux (#6.76)}		2007
"Ramdam" (2001) {Alexis puni? (#6.73)}			2007
"Ramdam" (2001) {Ami amer (#5.82)}			2006
"Ramdam" (2001) {Amitié recherchée (#4.35)}		2004
"Ramdam" (2001) {Amitiés en péril (#3.23)}		2003
"Ramdam" (2001) {Amour propre (#2.10)}			2002
"Ramdam" (2001) {Amour: mode d'emploi (#1.35)}		2001
"Ramdam" (2001) {Arbitre coupable (#6.62)}		2007
"Ramdam" (2001) {Assez! (#4.70)}			2005
"Ramdam" (2001) {Assez, c'est assez! (#3.81)}		2004
"Ramdam" (2001) {Attentions et déceptions (#3.94)}	2004
"Ramdam" (2001) {Au poil! (#2.16)}			2002
"Ramdam" (2001) {Au royaume des mieux (#5.31)}		2005
"Ramdam" (2001) {Au vol! (#2.25)}			2002
"Ramdam" (2001) {Aveugles? (#6.35)}			2006
"Ramdam" (2001) {Avoir su... (#3.90)}			2004
"Ramdam" (2001) {Bang! (#1.71)}				2002
"Ramdam" (2001) {Banni ou rejet? (#6.47)}		2006
"Ramdam" (2001) {Bar tendre (#6.91)}			2007
"Ramdam" (2001) {Becquer Bono... (#1.24)}		2001
"Ramdam" (2001) {Becs Et Bum (#4.77)}			2005
"Ramdam" (2001) {Bisbille de fifille (#3.53)}		2004
"Ramdam" (2001) {Blessures de guerre (#5.16)}		2005
"Ramdam" (2001) {Blues romantique (#4.63)}		2005
"Ramdam" (2001) {Bonne fête, Nathan! (#5.17)}		2005
"Ramdam" (2001) {Bonsoir, il est parti! (#6.21)}	2006
"Ramdam" (2001) {Boules et boulots (#6.53)}		2007
"Ramdam" (2001) {Bouteille (#1.50)}			2002
"Ramdam" (2001) {Bug! (#1.49)}				2002
"Ramdam" (2001) {Bébé boum (#3.1)}			2003
"Ramdam" (2001) {C'est aujourd'hui la veille (#6.5)}	2006
"Ramdam" (2001) {C'est du gâteau! (#5.62)}		2006
"Ramdam" (2001) {C'est Leena! (#5.73)}			2006
"Ramdam" (2001) {C'est loin en titi, Haïti! (#5.86)}	2006
"Ramdam" (2001) {C'est mon Mathieu (#4.86)}		2005
"Ramdam" (2001) {C'est normal (#4.52)}			2005
"Ramdam" (2001) {C'est pas juste! (#4.93)}		2005
"Ramdam" (2001) {C'est pas moi! (#5.59)}		2006
"Ramdam" (2001) {C'est pas un cadeau (#2.83)}		2003
"Ramdam" (2001) {C'est plus le temps des vacances (#4.1)}	2004
"Ramdam" (2001) {C'est quoi leur problème? (#2.41)}	2002
"Ramdam" (2001) {C'est quoi, ton signe? (#3.13)}	2003
"Ramdam" (2001) {C'est toi, c'est chez moi (#5.2)}	2005
"Ramdam" (2001) {C'est à cause des tacos (#5.28)}	2005
"Ramdam" (2001) {Cadeau piégé (#4.41)}			2004
"Ramdam" (2001) {Campagne sauvage (#5.1)}		2005
"Ramdam" (2001) {Camping très sauvage (#6.99)}		2007
"Ramdam" (2001) {Canapés sur canapé (#5.98)}		2006
"Ramdam" (2001) {Ce n'est qu'un au revoir... (#4.30)}	2004
"Ramdam" (2001) {Centripète et centrifuge (#3.18)}	2003
"Ramdam" (2001) {Chaleurs humaines (#1.52)}		2002
"Ramdam" (2001) {Change pour change (#6.82)}		2007
"Ramdam" (2001) {Changer de tête (#2.96)}		2003
"Ramdam" (2001) {Chasse à l'homme (#4.61)}		2005
"Ramdam" (2001) {Chassés-croisés amicaux (#6.69)}	2007
"Ramdam" (2001) {Chaudrons et science-fiction (#6.90)}	2007
"Ramdam" (2001) {Cheese! (#6.20)}			2006
"Ramdam" (2001) {Cher journal (#2.30)}			2002
"Ramdam" (2001) {Chez moi c'est chez toi (#2.92)}	2003
"Ramdam" (2001) {Chose Promise Chose Due! (#6.81)}	2007
"Ramdam" (2001) {Chronique d'un drame annoncé (#4.98)}	2005
"Ramdam" (2001) {Chronique panique (#6.71)}		2007
"Ramdam" (2001) {Chroniques (#4.75)}			2005
"Ramdam" (2001) {Cinéma, cinéma (#1.31)}		2001
"Ramdam" (2001) {Coeur de skater (#2.56)}		2003
"Ramdam" (2001) {Comme avant! (#5.3)}			2005
"Ramdam" (2001) {Comme dans un film (#5.6)}		2005
"Ramdam" (2001) {Commotion familiale (#4.12)}		2004
"Ramdam" (2001) {Complètement malaaaaaaaade! (#2.55)}	2003
"Ramdam" (2001) {Complètement marteau (#3.84)}		2004
"Ramdam" (2001) {Concours de circonstances (#4.24)}	2004
"Ramdam" (2001) {Contre vents et marées... (#3.66)}	2004
"Ramdam" (2001) {Contre-plaqué (#4.46)}			2004
"Ramdam" (2001) {Cool et écolo (#2.62)}			2003
"Ramdam" (2001) {Copier coller (#3.4)}			2003
